All 1599 models by parameter count:
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k   | Total: 304.2M | Trainable: 304.2M
vit_large_patch14_clip_224.openai_ft_in1k          | Total: 304.2M | Trainable: 304.2M
vit_large_patch14_clip_224.openai_ft_in12k_in1k    | Total: 304.2M | Trainable: 304.2M
vit_large_patch16_siglip_gap_512.v2_webli          | Total: 304.1M | Trainable: 304.1M
eva_large_patch14_196.in22k_ft_in1k                | Total: 304.1M | Trainable: 304.1M
eva_large_patch14_196.in22k_ft_in22k_in1k          | Total: 304.1M | Trainable: 304.1M
eva02_large_patch14_clip_224.merged2b              | Total: 304.1M | Trainable: 304.1M
vit_intern300m_patch14_448.ogvl_2pt5               | Total: 304.0M | Trainable: 304.0M
vit_intern300m_patch14_448.ogvl_dist               | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_224.datacompxl              | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_224.dfn2b                   | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_224.dfn2b_s39b              | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_224.laion2b                 | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_224.laion400m_e32           | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_224.metaclip_2pt5b          | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_224.metaclip_400m           | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_224.openai                  | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_quickgelu_224.dfn2b         | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_quickgelu_224.metaclip_2pt5b | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_quickgelu_224.metaclip_400m | Total: 304.0M | Trainable: 304.0M
vit_large_patch14_clip_quickgelu_224.openai        | Total: 304.0M | Trainable: 304.0M
vit_large_patch16_siglip_gap_384.v2_webli          | Total: 303.7M | Trainable: 303.7M
vit_large_patch16_siglip_gap_384.webli             | Total: 303.7M | Trainable: 303.7M
